Nombre_remitente,Email_remitente,Nombre_destinatario,Email_destinatario,Asunto,Contenido,Fecha,Message-ID
Vinicio David Salvador Cases,vinicio.david.salvador.cases@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,confusión sobre la normativa de bozal,"Tuve un problema durante el viaje y considero necesario notificarlo: confusión sobre la normativa de bozal. El problema se agravó porque no había alternativas evidentes en ese momento. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Vinicio David Salvador Cases Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-10-18 10:49,bac9ed51-edf3-4d39-9dc8-281607596ca9
Macaria Ávila Cervera,macaria.ávila.cervera@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,iluminación insuficiente,"Tuve un problema durante el viaje y considero necesario notificarlo: iluminación insuficiente. La situación fue especialmente problemática porque afectó toda mi organización. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Macaria Ávila Cervera Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-05-12 08:26,46d3d3e9-1bc9-4452-8ce2-a43da6b54e91
Julie Capdevila Guerrero,julie.capdevila.guerrero@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,aire acondicionado funcionando solo en algunos vagones,"Tuve un problema durante el viaje y considero necesario notificarlo: aire acondicionado funcionando solo en algunos vagones. Fue un inconveniente serio porque no recibí información clara en ningún momento. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Julie Capdevila Guerrero Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-10-01 20:35,11b3207b-0020-4994-917f-dde63fae3e8a
Vanesa Lorena Mosquera Bárcena,vanesa.lorena.mosquera.bárcena@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,el ascensor de la estación estaba fuera de servicio,"Quisiera explicar lo que ocurrió durante mi último viaje: el ascensor de la estación estaba fuera de servicio. Esto generó bastante estrés ya que tenía compromisos importantes después. Como consecuencia, perdí mi conexión con otro transporte. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Vanesa Lorena Mosquera Bárcena Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-08-13 06:59,7682965a-01d0-4d24-a89a-1783d95bc8bb
Gracia Hervás Alcázar,gracia.hervás.alcázar@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,una sugerencia para mejorar la información sobre retrasos,"En mi último trayecto ocurrió algo que considero importante comunicar: una sugerencia para mejorar la información sobre retrasos. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Como consecuencia, perdí mi conexión con otro transporte. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Gracia Hervás Alcázar Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-02-05 13:37,aeff43b6-c42f-487b-9719-dbe18dfca496
Alberto Oliva Aranda,alberto.oliva.aranda@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,mesas pegajosas,"Tuve un problema durante el viaje y considero necesario notificarlo: mesas pegajosas. Fue un inconveniente serio porque no recibí información clara en ningún momento. Esto provocó gastos adicionales que no debería haber tenido. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Alberto Oliva Aranda Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-10-07 15:41,57f9e215-4684-440a-a23e-0f42ed353306
Aarón Manuel Hidalgo,aarón.manuel.hidalgo@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un retraso causado por una avería en la vía,"Les escribo para informar de algo que me sucedió en el trayecto: un retraso causado por una avería en la vía. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Como consecuencia, perdí mi conexión con otro transporte. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Aarón Manuel Hidalgo Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-01-07 11:22,118de565-247a-4fc4-ada7-86f0fba58302
Domingo Robledo Luz,domingo.robledo.luz@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,una propuesta para mejorar la plataforma de venta de billetes,"Tuve un problema durante el viaje y considero necesario notificarlo: una propuesta para mejorar la plataforma de venta de billetes. Fue un inconveniente serio porque no recibí información clara en ningún momento. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Espero sinceramente que puedan evitar que algo así vuelva a suceder. Un saludo cordial,
Domingo Robledo Luz Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-07-08 08:21,808434c7-6530-411e-b05f-9d22dac311f5
Maximiano Pablo Anglada,maximiano.pablo.anglada@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,una propuesta para mejorar la plataforma de venta de billetes,"He experimentado un inconveniente durante mi viaje que deseo compartir: una propuesta para mejorar la plataforma de venta de billetes. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. A causa de ello, llegué mucho más tarde de lo previsto. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Maximiano Pablo Anglada Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-10-21 08:38,2736d51e-a0e1-4a23-af40-6d939a16d828
María Teresa Requena Menendez,maría.teresa.requena.menendez@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,comunicación clara durante una incidencia,"He experimentado un inconveniente durante mi viaje que deseo compartir: comunicación clara durante una incidencia. Esto generó bastante estrés ya que tenía compromisos importantes después. Tuve que reorganizar citas y generar cambios de última hora. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
María Teresa Requena Menendez Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-02-05 19:36,6575ee17-7498-4a45-af43-db27bc8b7eff
María Ángeles Artigas Alberola,maría.ángeles.artigas.alberola@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un retraso debido al embarque lento por exceso de pasajeros,"Quiero detallar un problema que tuve recientemente en el tren: un retraso debido al embarque lento por exceso de pasajeros. Esto generó bastante estrés ya que tenía compromisos importantes después. Tuve que reorganizar citas y generar cambios de última hora. Espero sinceramente que puedan evitar que algo así vuelva a suceder. Un saludo cordial,
María Ángeles Artigas Alberola Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-12-05 14:45,c4d4ffe2-9204-4887-9399-56737eafe8a1
Gil Folch Contreras,gil.folch.contreras@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un retraso de más de 30 minutos pese a que se había informado puntualidad,"Les escribo para informar de algo que me sucedió en el trayecto: un retraso de más de 30 minutos pese a que se había informado puntualidad. La situación fue especialmente problemática porque afectó toda mi organización. Como consecuencia, perdí mi conexión con otro transporte. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Gil Folch Contreras Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-01-24 10:54,514672fb-b53a-48ba-ac12-d488a70ad109
Alejo Pérez,alejo.pérez@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,dudas sobre viajar con mascota,"Quisiera explicar lo que ocurrió durante mi último viaje: dudas sobre viajar con mascota. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Como consecuencia, perdí mi conexión con otro transporte. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Alejo Pérez Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-08-28 19:27,c0d1c5ea-276b-4bf0-930e-b8a70314353b
Encarna Rosalina Juárez Lara,encarna.rosalina.juárez.lara@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,una duda sobre reembolso del billete,"Quisiera explicar lo que ocurrió durante mi último viaje: una duda sobre reembolso del billete. La situación fue especialmente problemática porque afectó toda mi organización. A causa de ello, llegué mucho más tarde de lo previsto. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Encarna Rosalina Juárez Lara Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-03-13 09:36,d0375cc7-fd05-473a-8045-eaa2bdd7f5c6
Ágata de Ariza,ágata.de.ariza@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un retraso debido a falta de personal,"Me pongo en contacto porque he vivido una situación complicada: un retraso debido a falta de personal. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Como consecuencia, perdí mi conexión con otro transporte. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Ágata de Ariza Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-07-14 07:19,e76ea8af-9a7f-430b-8c24-bc66dce9035a
Belén Ibarra Grau,belén.ibarra.grau@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,haber perdido ropa,"Quisiera explicar lo que ocurrió durante mi último viaje: haber perdido ropa. Esto generó bastante estrés ya que tenía compromisos importantes después. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Belén Ibarra Grau Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-12-17 11:14,cb43182a-dc2c-4560-871c-b96a4b7bc3a9
Marisa Sarmiento Galvez,marisa.sarmiento.galvez@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un asiento asignado erróneamente,"Les escribo para informar de algo que me sucedió en el trayecto: un asiento asignado erróneamente. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. A causa de ello, llegué mucho más tarde de lo previsto. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Marisa Sarmiento Galvez Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-04-28 13:30,1981be2e-5f46-44eb-8d4a-1a82babde8fa
Hortensia Julieta Quevedo Cepeda,hortensia.julieta.quevedo.cepeda@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un retraso causado por una avería en la vía,"Quiero detallar un problema que tuve recientemente en el tren: un retraso causado por una avería en la vía. Fue un inconveniente serio porque no recibí información clara en ningún momento. Como consecuencia, perdí mi conexión con otro transporte. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Hortensia Julieta Quevedo Cepeda Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-08-05 20:33,c4a88665-208e-4707-ae97-a84cb0092d3f
Haroldo Reina Cruz,haroldo.reina.cruz@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,confusión sobre zonas tarifarias,"Me gustaría relatarles una situación que me afectó bastante: confusión sobre zonas tarifarias. La situación fue especialmente problemática porque afectó toda mi organización. Esto provocó gastos adicionales que no debería haber tenido. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Haroldo Reina Cruz Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-04-08 14:48,7f5de73d-c1c1-482b-83e4-bdc2e104c11f
Carolina Criado-Sanmiguel,carolina.criado-sanmiguel@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,iluminación insuficiente,"En mi último trayecto ocurrió algo que considero importante comunicar: iluminación insuficiente. Esto generó bastante estrés ya que tenía compromisos importantes después. Tuve que reorganizar citas y generar cambios de última hora. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Carolina Criado-Sanmiguel Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-03-25 21:24,0b0823b8-db3b-4c91-80ac-10322a5a3e28
Nacio Cañas Estevez,nacio.cañas.estevez@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,iluminación insuficiente,"Me pongo en contacto porque he vivido una situación complicada: iluminación insuficiente. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Como consecuencia, perdí mi conexión con otro transporte. Espero sinceramente que puedan evitar que algo así vuelva a suceder. Un saludo cordial,
Nacio Cañas Estevez Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-11-12 06:00,ee552854-8add-46fc-bec3-78f5cde8d5fb
Tadeo Ferrán Boada,tadeo.ferrán.boada@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,ventanas sucias,"Me gustaría relatarles una situación que me afectó bastante: ventanas sucias. Esto generó bastante estrés ya que tenía compromisos importantes después. Tuve que reorganizar citas y generar cambios de última hora. Espero sinceramente que puedan evitar que algo así vuelva a suceder. Un saludo cordial,
Tadeo Ferrán Boada Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-06-01 10:14,f23b6cf8-8277-48b6-9904-f57ded1f2a9a
Marcela Marco,marcela.marco@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,una sugerencia para mejorar los anuncios,"Quisiera explicar lo que ocurrió durante mi último viaje: una sugerencia para mejorar los anuncios. Esto generó bastante estrés ya que tenía compromisos importantes después. Esto provocó gastos adicionales que no debería haber tenido. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Marcela Marco Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-12-13 06:46,983b57b2-6147-4845-a17c-f369b431187a
Maite Solana Tejedor,maite.solana.tejedor@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,normas de transporte de bicicletas poco claras,"Me gustaría relatarles una situación que me afectó bastante: normas de transporte de bicicletas poco claras. Fue un inconveniente serio porque no recibí información clara en ningún momento. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Maite Solana Tejedor Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-06-20 09:51,a9ab32b2-7c42-4d01-a99a-990b4f38c3fa
Aurelio Pinedo-Carro,aurelio.pinedo-carro@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,información contradictoria entre web y app,"Tuve un problema durante el viaje y considero necesario notificarlo: información contradictoria entre web y app. La situación fue especialmente problemática porque afectó toda mi organización. A causa de ello, llegué mucho más tarde de lo previsto. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Aurelio Pinedo-Carro Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-01-10 19:55,8dbbd4a8-023a-4ad4-bf5b-16a0f6f375a1
Isidoro del Tolosa,isidoro.del.tolosa@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,mal olor persistente en el vagón,"Me pongo en contacto porque he vivido una situación complicada: mal olor persistente en el vagón. Fue un inconveniente serio porque no recibí información clara en ningún momento. Como consecuencia, perdí mi conexión con otro transporte. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Isidoro del Tolosa Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-12-23 08:28,7686a42f-bb33-45a2-ac17-d1d2fc38e0f2
Fabiola Gascón Chaparro,fabiola.gascón.chaparro@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,señalización confusa,"Quisiera explicar lo que ocurrió durante mi último viaje: señalización confusa. Fue un inconveniente serio porque no recibí información clara en ningún momento. Esto provocó gastos adicionales que no debería haber tenido. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Fabiola Gascón Chaparro Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-08-03 14:56,80880b42-a0fc-40db-a51b-7b6e86af7d19
Isidoro Cámara Morell,isidoro.cámara.morell@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,normas de transporte de bicicletas poco claras,"Quisiera explicar lo que ocurrió durante mi último viaje: normas de transporte de bicicletas poco claras. Fue un inconveniente serio porque no recibí información clara en ningún momento. A causa de ello, llegué mucho más tarde de lo previsto. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Isidoro Cámara Morell Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-10-21 17:32,6651b507-a9ac-4938-b3b8-b2c10110fac6
Teresita Perez Pol,teresita.perez.pol@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,ventanas sucias,"En mi último trayecto ocurrió algo que considero importante comunicar: ventanas sucias. La situación fue especialmente problemática porque afectó toda mi organización. Tuve que reorganizar citas y generar cambios de última hora. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Teresita Perez Pol Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-09-20 09:32,c12fd7d2-a268-4933-a0bb-656a2109c0c2
Rolando Araujo Baró,rolando.araujo.baró@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,iluminación insuficiente,"Quiero detallar un problema que tuve recientemente en el tren: iluminación insuficiente. El problema se agravó porque no había alternativas evidentes en ese momento. A causa de ello, llegué mucho más tarde de lo previsto. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Rolando Araujo Baró Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-08-26 18:25,e43133f9-f91d-499e-bdc7-752d03b59be8
Cloe Cantero-Carnero,cloe.cantero-carnero@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un asiento asignado erróneamente,"Quisiera explicar lo que ocurrió durante mi último viaje: un asiento asignado erróneamente. Fue un inconveniente serio porque no recibí información clara en ningún momento. Como consecuencia, perdí mi conexión con otro transporte. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Cloe Cantero-Carnero Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-05-27 09:41,1a6c0fc2-7b0d-49b3-b9d5-f59b15f81d8c
Pascuala Abril Cadenas,pascuala.abril.cadenas@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,haber perdido una mochila,"Quisiera explicar lo que ocurrió durante mi último viaje: haber perdido una mochila. Fue un inconveniente serio porque no recibí información clara en ningún momento. Esto provocó gastos adicionales que no debería haber tenido. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Pascuala Abril Cadenas Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-12-14 13:03,5dbfc96b-ef21-4d41-b52f-1e3577fabf53
Esteban Sanabria-Llano,esteban.sanabria-llano@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,mesas pegajosas,"Les escribo para informar de algo que me sucedió en el trayecto: mesas pegajosas. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Espero sinceramente que puedan evitar que algo así vuelva a suceder. Un saludo cordial,
Esteban Sanabria-Llano Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-07-04 15:17,dc2903b7-40c5-4fcc-b644-22c92e0fa9b9
Marcio Seve Osuna Pintor,marcio.seve.osuna.pintor@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,una parada no planificada que generó demora,"Quiero detallar un problema que tuve recientemente en el tren: una parada no planificada que generó demora. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Marcio Seve Osuna Pintor Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-05-22 16:51,fabc092a-d78b-4795-a37c-537099c5bcd9
Ileana Cordero,ileana.cordero@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,varias cancelaciones consecutivas en la misma línea,"Me gustaría relatarles una situación que me afectó bastante: varias cancelaciones consecutivas en la misma línea. La situación fue especialmente problemática porque afectó toda mi organización. Como consecuencia, perdí mi conexión con otro transporte. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Ileana Cordero Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-01-24 13:36,dd76ecc8-9d77-4e73-a2be-2066901c3d2f
Baltasar Hierro,baltasar.hierro@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,tono agresivo durante una revisión,"He experimentado un inconveniente durante mi viaje que deseo compartir: tono agresivo durante una revisión. Fue un inconveniente serio porque no recibí información clara en ningún momento. Esto provocó gastos adicionales que no debería haber tenido. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Baltasar Hierro Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-08-03 06:04,69f8dc41-2406-4d09-9bfa-ea0c3f537074
Tomás Catalá Sebastián,tomás.catalá.sebastián@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,haber perdido un ordenador portátil,"Me dirijo a ustedes para describir un incidente ocurrido en el tren: haber perdido un ordenador portátil. El problema se agravó porque no había alternativas evidentes en ese momento. A causa de ello, llegué mucho más tarde de lo previsto. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Tomás Catalá Sebastián Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-10-28 08:22,9a9a8c22-0a3d-4424-a993-aa33e147e7f8
Natalio Pomares Anglada,natalio.pomares.anglada@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,falta de ayuda para personas con movilidad reducida,"Me dirijo a ustedes para describir un incidente ocurrido en el tren: falta de ayuda para personas con movilidad reducida. Esto generó bastante estrés ya que tenía compromisos importantes después. Tuve que reorganizar citas y generar cambios de última hora. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Natalio Pomares Anglada Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-03-22 09:36,6ffc0b13-c2e1-4d7d-bca7-b4476f48ce65
Fabricio Álvaro Fernández,fabricio.álvaro.fernández@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,aire acondicionado roto y demasiado calor,"Tuve un problema durante el viaje y considero necesario notificarlo: aire acondicionado roto y demasiado calor. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Esto provocó gastos adicionales que no debería haber tenido. Espero sinceramente que puedan evitar que algo así vuelva a suceder. Un saludo cordial,
Fabricio Álvaro Fernández Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-01-04 09:04,3e4a3a4d-c292-4444-acaa-a19d57b3ba82
Teo de Tur,teo.de.tur@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,la cancelación del tren por falta de personal,"En mi último trayecto ocurrió algo que considero importante comunicar: la cancelación del tren por falta de personal. El problema se agravó porque no había alternativas evidentes en ese momento. Tuve que reorganizar citas y generar cambios de última hora. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Teo de Tur Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-10-25 12:56,33d95429-3d87-4af2-839d-8e8fbb577737
Ariadna Serna Uría,ariadna.serna.uría@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,problemas con billete para perro,"Me pongo en contacto porque he vivido una situación complicada: problemas con billete para perro. Fue un inconveniente serio porque no recibí información clara en ningún momento. Como consecuencia, perdí mi conexión con otro transporte. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Ariadna Serna Uría Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-05-19 15:32,b5b205c7-a019-4a66-8935-7ad2572a328a
Silvio Ledesma Duque,silvio.ledesma.duque@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,ventanas sucias,"Me dirijo a ustedes para describir un incidente ocurrido en el tren: ventanas sucias. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Como consecuencia, perdí mi conexión con otro transporte. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Silvio Ledesma Duque Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-01-13 16:05,d70abc84-a323-4740-b05d-57752785988d
Francisco Jose de Cámara,francisco.jose.de.cámara@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un retraso causado por una avería en la vía,"Me gustaría relatarles una situación que me afectó bastante: un retraso causado por una avería en la vía. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Como consecuencia, perdí mi conexión con otro transporte. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Francisco Jose de Cámara Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-05-21 07:44,d1917493-1bac-4af9-8f86-381cb1a4b874
